Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-October-2025,3907.05,3947.25,3907.05,3924.70,3929.708950952333958353,50665,6839,199098704.00,22650,44.71,40.20,17.65
24-October-2025,3925.35,3939.90,3897.95,3904.35,3915.325794013594625750,25157,5924,98497851.00,7537,29.96,41.95,-21.00
23-October-2025,3898.95,3966.20,3889.30,3918.00,3925.084580314139118752,279876,24702,1098536972.00,32861,11.74,76.90,19.05
21-October-2025,3873.75,3893.50,3873.75,3887.10,3887.615806835388276011,36984,5377,143779583.00,18180,49.16,19.75,13.35
20-October-2025,3860.00,3886.15,3845.05,3873.70,3872.125701185308033754,41002,6201,158764898.00,17060,41.61,41.10,13.70
17-October-2025,3853.40,3868.75,3830.10,3839.10,3847.138735531621765670,99441,15101,382563323.00,51422,51.71,38.65,-14.30
16-October-2025,3837.85,3885.45,3831.00,3861.90,3859.586020077044234017,316182,23326,1220331627.00,50191,15.87,54.45,24.05
15-October-2025,3748.00,3842.95,3744.60,3824.65,3816.077168605126992643,219934,19243,839285116.00,131472,59.78,98.35,76.65
14-October-2025,3750.05,3788.80,3731.00,3741.30,3752.507568562845236941,103190,13682,387221256.00,81028,78.52,57.80,-8.75
13-October-2025,3782.95,3783.30,3746.75,3770.35,3763.697233804754330911,93052,9480,350219555.00,58275,62.63,36.55,-12.60
10-October-2025,3768.80,3798.50,3760.50,3783.30,3785.620959616589058628,73446,7899,278038717.00,42281,57.57,38.00,14.50
9-October-2025,3730.00,3795.00,3730.00,3769.35,3768.996462421365610767,322537,14456,1215640812.00,40253,12.48,65.00,39.35
8-October-2025,3728.50,3759.75,3714.15,3728.00,3736.198840152510332895,93633,8365,349831506.00,61319,65.49,45.60,-0.50
7-October-2025,3764.45,3765.00,3725.70,3730.70,3740.269786672531339344,113675,6282,425175168.00,86304,75.92,39.30,-33.75
6-October-2025,3731.35,3767.45,3703.05,3736.20,3744.585404057171557235,117471,7945,439880192.00,85683,72.94,64.40,4.85
3-October-2025,3685.00,3744.85,3667.30,3732.35,3698.615238048708991865,81874,7380,302820424.00,58069,70.92,77.55,47.35
1-October-2025,3646.20,3681.00,3614.80,3670.15,3660.245609556227937468,634560,21802,2322645454.00,308425,48.60,66.20,23.95
30-September-2025,3704.30,3704.30,3649.00,3658.80,3658.825020715150742558,62756,8277,229613223.00,44753,71.31,55.30,-45.50
29-September-2025,3748.95,3748.95,3678.65,3687.60,3698.394038339133525662,120973,8644,447405822.00,69095,57.12,70.30,-61.35
26-September-2025,3653.05,3794.70,3653.05,3731.10,3743.880146696635166627,241587,18366,904472773.00,103078,42.67,141.65,78.05
25-September-2025,3681.00,3703.85,3634.20,3644.20,3652.866640542577241899,331750,25855,1211838508.00,49907,15.04,69.65,-36.80
24-September-2025,3661.85,3708.35,3636.85,3678.40,3685.438347957853190964,113508,19754,418326736.00,36924,32.53,71.50,16.55
23-September-2025,3640.05,3672.25,3615.00,3658.30,3646.234422741161065037,36656,6805,133656369.00,16614,45.32,57.25,18.25
22-September-2025,3678.15,3691.60,3633.00,3642.15,3652.989184424214684093,58989,7247,215486179.00,29603,50.18,58.60,-36.00
19-September-2025,3665.20,3704.90,3665.20,3675.85,3684.063211940033117366,89983,10918,331503060.00,65762,73.08,39.70,10.65
18-September-2025,3695.00,3701.40,3672.55,3687.00,3688.024373657005293112,386729,24392,1426265978.00,128132,33.13,28.85,-8.00
17-September-2025,3668.05,3704.00,3660.85,3685.10,3689.189428227633933752,163719,13822,603990404.00,88477,54.04,43.15,17.05
16-September-2025,3607.65,3675.00,3596.20,3667.15,3653.042577675489067894,104280,6299,380939280.00,72906,69.91,78.80,59.50
15-September-2025,3581.00,3607.40,3577.00,3585.35,3595.026064175194249759,44659,4273,160550269.00,34229,76.65,30.40,4.35
12-September-2025,3550.15,3595.00,3550.15,3579.60,3584.819458286271122627,45153,2768,161865353.00,32351,71.65,44.85,29.45
11-September-2025,3551.60,3565.35,3532.50,3539.20,3541.260592396984669899,414283,34819,1467084062.00,18971,4.58,32.85,-12.40
10-September-2025,3555.05,3577.65,3539.95,3553.25,3555.300735809390329362,114160,14432,405873132.00,13539,11.86,37.70,-1.80
9-September-2025,3567.70,3567.70,3503.40,3521.00,3532.305497224060063861,69526,3431,245587072.00,17306,24.89,64.30,-46.70
8-September-2025,3576.00,3578.40,3484.10,3517.75,3542.731546518792359827,97380,8825,344991198.00,26209,26.91,94.30,-58.25
5-September-2025,3580.30,3609.10,3550.00,3552.75,3571.204501563362148243,43496,4523,155333111.00,12779,29.38,59.10,-27.55
4-September-2025,3646.80,3646.80,3571.65,3592.50,3592.292997733024307862,394358,28733,1416649482.00,69292,17.57,75.15,-54.30
3-September-2025,3574.25,3606.35,3561.00,3600.25,3574.351547922525032193,152204,8471,544030603.00,112485,73.90,45.35,26.00
2-September-2025,3595.00,3619.90,3561.00,3572.45,3601.416295908575416557,57315,6312,206415175.00,35754,62.38,58.90,-22.55
1-September-2025,3600.00,3625.90,3581.15,3599.25,3596.750080301505385554,46699,4388,167964632.00,25732,55.10,44.75,-0.75
29-August-2025,3560.75,3614.45,3540.60,3599.85,3590.242199289295623813,41086,3269,147508691.00,25694,62.54,73.85,39.10
28-August-2025,3526.65,3576.80,3526.65,3559.85,3554.321874093414563388,27576,2516,98013980.00,16578,60.12,50.15,33.20
26-August-2025,3592.20,3592.20,3529.45,3539.60,3558.388577125013704526,492538,31814,1752641593.00,38296,7.78,62.75,-52.60
25-August-2025,3605.00,3609.05,3584.05,3603.10,3599.052266890298233660,95395,8893,343331591.00,11975,12.55,25.00,-1.90
22-August-2025,3614.95,3634.00,3582.00,3595.45,3599.041195184211528936,104988,6940,377856137.00,78999,75.25,52.00,-19.50
21-August-2025,3593.35,3648.20,3589.90,3616.75,3620.611233009432080471,105279,7900,381174330.00,71449,67.87,58.30,23.40
20-August-2025,3634.95,3634.95,3581.30,3589.35,3591.305138339920948616,45540,2878,163548036.00,29782,65.40,53.65,-45.60
19-August-2025,3640.30,3651.65,3607.65,3611.70,3627.680640706987020160,36210,3754,131358316.00,23555,65.05,44.00,-28.60
18-August-2025,3685.20,3704.35,3622.60,3633.75,3645.298504728072229064,98243,8558,358125061.00,60418,61.50,81.75,-51.45
14-August-2025,3711.90,3711.90,3642.15,3677.25,3666.639017608897126969,28054,4305,102863891.00,18830,67.12,69.75,-34.65
13-August-2025,3691.00,3715.80,3682.60,3692.75,3700.256682820071908707,57573,3919,213034878.00,41834,72.66,33.20,1.75
12-August-2025,3680.00,3727.00,3674.90,3686.00,3702.133325920160124541,62951,5202,233052995.00,36768,58.41,52.10,6.00
11-August-2025,3608.10,3676.00,3606.75,3667.90,3646.919074474660074165,25888,2539,94411441.00,15385,59.43,69.25,59.80
