Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-October-2025,2517.40,2524.10,2506.00,2511.90,2512.932950128194524853,120910,8696,303838723.00,84940,70.25,18.10,-5.50
24-October-2025,2586.00,2586.05,2475.20,2517.40,2513.024988097571904668,142828,13474,358930333.00,96604,67.64,110.85,-68.60
23-October-2025,2592.50,2667.55,2592.50,2600.75,2614.377856910462329227,335021,26486,875871484.00,56040,16.73,75.05,8.25
21-October-2025,2590.05,2606.45,2586.35,2592.30,2597.317629794555206962,19762,2875,51328191.00,4846,24.52,20.10,2.25
20-October-2025,2605.55,2624.70,2585.25,2592.95,2602.597577955509503610,61766,7010,160752042.00,34626,56.06,39.45,-12.60
17-October-2025,2565.00,2615.05,2561.00,2604.75,2597.614395457581830327,59880,9731,155545150.00,24665,41.19,54.05,39.75
16-October-2025,2511.15,2568.05,2506.50,2561.25,2542.783253481318075279,116048,12043,295084911.00,30190,26.02,61.55,50.10
15-October-2025,2506.95,2532.00,2506.90,2520.50,2520.338245027894222586,63454,7955,159925543.00,29504,46.50,25.10,13.55
14-October-2025,2492.25,2508.40,2482.30,2501.10,2498.770093686686700297,73543,9011,183767049.00,59025,80.26,26.10,8.85
13-October-2025,2512.50,2529.90,2486.05,2492.25,2497.833667594733613326,84764,8053,211726373.00,49727,58.67,43.85,-20.25
10-October-2025,2507.20,2535.00,2507.20,2529.10,2521.539469865531585566,20674,2464,52130307.00,9715,46.99,27.80,21.90
9-October-2025,2501.65,2523.00,2499.60,2517.45,2515.995928045377996363,358059,13451,900874986.00,63917,17.85,23.40,15.80
8-October-2025,2515.85,2520.90,2486.30,2501.65,2507.448717791936213664,81773,4417,205041604.00,51589,63.09,34.60,-14.20
7-October-2025,2536.55,2558.85,2508.30,2515.85,2518.616312004425594689,271150,7416,682922813.00,233886,86.26,50.55,-20.70
6-October-2025,2535.80,2549.20,2520.55,2541.80,2538.901453504686009315,53457,2810,135722055.00,37136,69.47,28.65,6.00
3-October-2025,2530.60,2548.55,2509.00,2544.30,2537.297775054209484302,42428,1915,107652470.00,31982,75.38,39.55,13.70
1-October-2025,2514.45,2539.80,2498.00,2535.60,2527.667627697573515313,281642,12097,711897366.00,91582,32.52,41.80,21.15
30-September-2025,2490.45,2526.00,2490.45,2514.45,2512.431580490665624083,20462,2524,51409375.00,10560,51.61,35.55,24.00
29-September-2025,2480.20,2517.05,2443.50,2498.45,2481.069672829110450924,52847,3461,131117089.00,15707,29.72,73.55,18.25
26-September-2025,2522.65,2544.15,2500.30,2510.85,2515.958044844732151233,53295,4506,134087984.00,18878,35.42,43.85,-11.80
25-September-2025,2572.50,2572.50,2531.20,2538.05,2542.449550985622070358,253444,21714,644368584.00,24424,9.64,41.30,-34.45
24-September-2025,2518.15,2575.75,2509.65,2549.85,2555.187220512971135277,136187,15845,347983282.00,85751,62.97,66.10,31.70
23-September-2025,2569.60,2576.70,2517.15,2521.55,2525.708128785463818935,188220,9447,475388784.00,165800,88.09,59.55,-48.05
22-September-2025,2563.45,2587.45,2562.20,2571.55,2575.037957153855002698,226018,11146,582004929.00,181088,80.12,25.25,8.10
19-September-2025,2600.05,2605.25,2555.00,2558.85,2566.415115745117635936,148084,11000,380045016.00,126537,85.45,50.25,-41.20
18-September-2025,2565.25,2610.00,2565.25,2586.50,2585.467419078383545388,379225,23702,980473882.00,165527,43.65,44.75,21.25
17-September-2025,2583.25,2593.35,2566.00,2567.85,2573.807777130492676431,192256,9200,494829988.00,131860,68.59,27.35,-15.40
16-September-2025,2581.35,2589.00,2574.00,2578.90,2580.453649216660298051,104680,6248,270121888.00,82724,79.03,15.00,-2.45
15-September-2025,2580.30,2591.55,2568.60,2579.60,2582.929156844685202241,64057,2647,165454693.00,50637,79.05,22.95,-0.70
12-September-2025,2622.05,2627.30,2570.00,2580.30,2584.709850546967284679,38942,3014,100653771.00,18406,47.27,57.30,-41.75
11-September-2025,2643.75,2657.80,2613.00,2621.50,2629.497629083245521601,394784,26531,1038083592.00,30990,7.85,44.80,-22.25
10-September-2025,2633.20,2653.60,2618.65,2643.75,2637.776223776223776223,114400,11560,301761600.00,14691,12.84,34.95,10.55
9-September-2025,2625.20,2647.10,2609.90,2642.65,2627.471768912173882261,28249,2108,74223450.00,13953,49.39,37.20,17.45
8-September-2025,2626.10,2643.80,2617.90,2622.95,2628.542846128428240995,36316,4046,95458162.00,7313,20.14,25.90,-3.15
5-September-2025,2669.35,2673.35,2624.20,2633.20,2651.263329994140661916,52907,6399,140270389.00,14967,28.29,49.15,-36.15
4-September-2025,2779.70,2779.70,2655.25,2667.25,2678.912132171625842511,389312,31467,1042932640.00,,,124.45,-112.45
3-September-2025,2689.80,2689.80,2657.85,2663.90,2668.929345713668754048,46310,5578,123598118.00,14199,30.66,31.95,-25.90
2-September-2025,2650.00,2692.35,2649.60,2677.00,2679.443161132383403427,31862,2869,85372418.00,20254,63.57,42.75,27.00
1-September-2025,2656.00,2670.00,2639.15,2648.20,2651.872056560777515922,51343,4465,136155067.00,29968,58.37,30.85,-7.80
29-August-2025,2652.05,2723.85,2641.40,2660.00,2673.519198600973236009,26304,3361,70324249.00,8641,32.85,82.45,7.95
28-August-2025,2756.75,2756.75,2646.85,2652.25,2687.293595727681762751,47562,5101,127813058.00,26910,56.58,109.90,-104.50
26-August-2025,2639.35,2705.00,2627.00,2692.10,2684.703708417519130725,251428,13635,675009684.00,72084,28.67,78.00,52.75
25-August-2025,2634.20,2641.95,2616.00,2629.60,2630.404731929672237898,23035,1528,60591373.00,17733,76.98,25.95,-4.60
