Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-October-2025,2038.70,2093.85,2032.00,2081.05,2080.961817044735856865,1418303,12664,2951434388.00,1314003,92.65,61.85,42.35
24-October-2025,2005.40,2033.00,2005.40,2029.10,2024.468570309579335267,56173,8378,113720473.00,19177,34.14,27.60,23.70
23-October-2025,2069.25,2069.25,2003.25,2008.35,2020.613865952591562578,871617,20368,1761201396.00,531003,60.92,66.00,-60.90
21-October-2025,2047.35,2057.95,2038.50,2043.35,2045.592052293833951133,25089,3063,51321859.00,6904,27.52,19.45,-4.00
20-October-2025,2022.20,2057.00,2020.00,2051.25,2043.495374277738102966,61612,5537,125903837.00,23292,37.80,37.00,29.05
17-October-2025,1967.45,2033.55,1967.45,2011.95,2015.657688595188595188,161616,13836,325762533.00,62746,38.82,66.10,44.50
16-October-2025,1966.00,1986.75,1961.30,1967.10,1971.594970149173671195,372854,19602,735117071.00,50361,13.51,25.45,1.10
15-October-2025,1955.00,1975.95,1952.40,1969.20,1964.547577864450850715,176910,13057,347548112.00,29457,16.65,23.55,14.20
14-October-2025,1967.95,1967.95,1938.85,1946.20,1947.087359178927955739,49886,9370,97132400.00,20009,40.11,29.10,-21.75
13-October-2025,1938.00,1966.15,1938.00,1955.05,1955.206150604194791083,91113,7915,178144698.00,21019,23.07,28.15,17.05
10-October-2025,1940.90,1948.00,1935.00,1939.60,1939.970641630789978733,77116,9308,149602776.00,41769,54.16,13.00,-1.30
9-October-2025,1948.70,1948.70,1931.45,1941.30,1941.096325536781524385,406590,13950,789230355.00,68563,16.86,17.25,-7.40
8-October-2025,1933.65,1962.50,1928.90,1942.85,1943.085415573406531304,247730,11526,481360550.00,167423,67.58,33.60,9.20
7-October-2025,1911.70,1946.65,1901.00,1929.20,1925.168019609020586196,183181,5272,352654203.00,120081,65.55,45.65,17.50
6-October-2025,1888.90,1906.80,1888.55,1902.55,1901.040765436114273323,110682,8453,210410994.00,63388,57.27,18.25,13.65
3-October-2025,1849.95,1900.60,1848.45,1895.60,1881.585876422987244548,58328,3984,109749141.00,19533,33.49,52.15,45.65
1-October-2025,1855.55,1875.60,1855.55,1867.35,1867.186084870685506005,384373,14365,717695917.00,45879,11.94,20.05,11.80
30-September-2025,1895.00,1907.55,1875.70,1878.00,1889.375718504874718155,31489,2259,59494552.00,18606,59.09,31.85,-17.00
29-September-2025,1918.60,1925.55,1897.25,1901.30,1908.994729959979395332,100948,3097,192709200.00,76611,75.89,28.30,-17.30
26-September-2025,1930.05,1941.70,1911.60,1916.70,1923.471974229607817394,213268,11684,410215021.00,140739,65.99,30.10,-13.35
25-September-2025,1925.30,1950.05,1925.30,1936.05,1938.536879280872245722,425293,21730,824446165.00,123182,28.96,24.75,10.75
24-September-2025,1925.00,1937.55,1919.00,1930.05,1927.270862485295028171,161510,16649,311273517.00,70602,43.71,18.55,5.05
23-September-2025,1951.00,1954.35,1930.15,1939.10,1940.435264616602877128,75770,7166,147026780.00,48781,64.38,24.20,-11.90
22-September-2025,1955.50,1965.60,1945.25,1955.75,1955.646995303554900414,58342,6325,114096357.00,23473,40.23,20.35,0.25
19-September-2025,1934.75,1976.45,1928.00,1962.35,1947.946269791006966434,157900,11681,307580716.00,107295,67.95,48.45,27.60
18-September-2025,1944.90,1950.55,1920.90,1942.00,1938.940143612952710276,471963,22023,915108007.00,180201,38.18,29.65,-2.90
17-September-2025,1940.00,1949.90,1933.25,1941.00,1941.941568023610175472,124692,9088,242144578.00,45489,36.48,16.65,1.00
16-September-2025,1902.35,1942.00,1902.00,1939.85,1931.577625657123406830,132205,6350,255364220.00,90846,68.72,40.00,37.50
15-September-2025,1900.20,1912.70,1898.05,1904.55,1903.444288829299674916,175647,7986,334334279.00,147023,83.70,14.65,4.35
12-September-2025,1916.80,1925.30,1901.10,1904.10,1907.854714303777905784,71177,2289,135795375.00,56457,79.32,24.20,-12.70
11-September-2025,1875.10,1916.35,1875.10,1912.75,1905.408727187055626141,475388,32259,905808444.00,46690,9.82,41.25,37.65
10-September-2025,1905.00,1905.25,1883.40,1890.70,1893.529130344615516637,139837,12441,264785433.00,33371,23.86,21.85,-14.30
9-September-2025,1887.90,1903.80,1883.70,1893.35,1892.644963940750550605,69469,2621,131480153.00,53112,76.45,20.10,5.45
8-September-2025,1896.65,1899.40,1884.25,1887.10,1891.881175802482490061,73958,7042,139919748.00,29670,40.12,15.15,-9.55
5-September-2025,1889.85,1910.50,1876.00,1896.40,1893.470166994609065839,136711,4822,258858200.00,95435,69.81,34.50,6.55
4-September-2025,1903.90,1903.90,1876.80,1880.30,1881.834206824720529557,391723,24851,737157741.00,,,27.10,-23.60
3-September-2025,1888.75,1891.85,1869.05,1883.70,1878.815493967267948871,100452,8404,188730774.00,49669,49.45,22.80,-5.05
2-September-2025,1911.80,1917.40,1877.70,1888.75,1898.759293371197584874,78174,7987,148433609.00,50176,64.18,39.70,-23.05
1-September-2025,1886.75,1904.85,1884.05,1900.15,1894.301409863142991977,67808,4194,128448790.00,33913,50.01,20.80,13.40
29-August-2025,1880.95,1899.10,1875.00,1889.15,1886.775439938791124713,39210,2924,73980465.00,21428,54.65,24.10,8.20
28-August-2025,1895.00,1899.45,1878.40,1881.20,1888.107349699779585011,65785,5356,124209142.00,35444,53.88,21.05,-13.80
26-August-2025,1915.25,1930.00,1898.15,1905.40,1909.669386782724951820,562476,27790,1074143198.00,51998,9.24,31.85,-9.85
25-August-2025,1942.05,1942.05,1913.40,1930.75,1925.289888489137132521,100618,6164,193718818.00,16518,16.42,28.65,-11.30
22-August-2025,1931.55,1947.10,1917.90,1932.90,1929.421692361831030120,105143,5167,202865185.00,68949,65.58,29.20,1.35
21-August-2025,1937.05,1940.00,1928.05,1930.15,1932.708764607679465776,23960,1948,46307702.00,14139,59.01,11.95,-6.90
20-August-2025,1936.05,1951.00,1925.35,1928.20,1933.937524484338539626,117422,4244,227086812.00,59557,50.72,25.65,-7.85
19-August-2025,1895.20,1931.85,1895.20,1909.60,1913.695326037618323443,301821,12082,577593437.00,87990,29.15,36.65,14.40
18-August-2025,1882.85,1912.00,1868.10,1892.90,1899.365226761000055908,196749,5850,373698209.00,163360,83.03,43.90,10.05
14-August-2025,1875.00,1882.50,1869.00,1873.45,1875.934986742159931418,50159,4292,94095023.00,27454,54.73,13.50,-1.55
13-August-2025,1855.20,1872.25,1852.90,1868.00,1859.658320072167769792,986590,5809,1834720302.00,943543,95.64,19.35,12.80
12-August-2025,1860.05,1865.45,1848.00,1850.15,1853.860941123735651224,205244,5407,380493835.00,164408,80.10,17.45,-9.90
11-August-2025,1862.10,1865.60,1846.30,1857.05,1856.261399242527840371,336382,14145,624412922.00,258762,76.92,19.30,-5.05
8-August-2025,1888.00,1889.00,1855.30,1858.70,1874.655073398365523912,13419713,46285,25157333059.00,8289895,61.77,33.70,-29.30
7-August-2025,1935.40,1935.40,1909.00,1924.35,1919.674304718049921426,54726,3066,105056096.00,40071,73.22,26.40,-11.05
6-August-2025,1935.90,1965.00,1921.85,1929.65,1941.283590435982951625,198494,6285,385333145.00,102214,51.49,43.15,-6.25
5-August-2025,1915.05,1937.90,1914.50,1929.75,1928.088520986158781434,89154,5199,171896804.00,30005,33.66,23.40,14.70
4-August-2025,1886.25,1919.90,1878.80,1915.05,1903.397727042521726799,49363,4518,93957422.00,21153,42.85,41.10,28.80
1-August-2025,1914.00,1917.50,1878.25,1885.10,1895.057870218489600419,45723,2623,86647731.00,18379,40.20,39.25,-28.90
31-July-2025,1902.65,1926.10,1896.10,1913.20,1912.808651048624045018,626583,2280,1198533383.00,9012,1.44,30.00,10.55
30-July-2025,1925.10,1939.00,1922.45,1931.15,1931.952690269887722117,261405,3481,505022093.00,217049,83.03,16.55,6.05
29-July-2025,1876.55,1924.00,1876.55,1918.00,1909.557268702714497947,334537,9935,638817560.00,198974,59.48,47.45,41.45
28-July-2025,1937.50,1937.50,1885.00,1892.10,1902.770570848068049212,844095,6893,1606119125.00,25408,3.01,52.50,-45.40
25-July-2025,1935.00,1952.40,1924.40,1937.60,1934.299567051509769094,738656,19564,1428781981.00,652304,88.31,28.00,2.60
24-July-2025,1952.75,1970.00,1934.00,1936.60,1944.296399096998630694,108084,3954,210147332.00,79958,73.98,36.00,-16.15
23-July-2025,1918.00,1948.80,1907.75,1943.35,1933.076553398058252427,61800,2774,119464131.00,43612,70.57,41.05,25.35
22-July-2025,1908.75,1910.95,1883.00,1906.30,1899.660918517199946597,44942,3600,85374561.00,28178,62.70,27.95,-2.45
21-July-2025,1900.10,1919.70,1892.10,1908.75,1906.658137850826183318,45571,3319,86888318.00,23420,51.39,27.60,8.65
18-July-2025,1922.75,1922.75,1892.00,1901.05,1899.719884082631005237,263291,8642,500179148.00,94350,35.83,30.75,-21.70
17-July-2025,1940.05,1944.05,1927.80,1929.90,1933.769787737121721257,203851,4626,394200905.00,184116,90.32,16.25,-10.15
16-July-2025,1941.05,1943.95,1928.50,1936.45,1937.081097760191672414,27547,2755,53360773.00,13418,48.71,15.45,-4.60
15-July-2025,1923.50,1943.00,1923.50,1934.70,1933.507187818102499117,96274,3303,186146471.00,72501,75.31,19.50,11.20
14-July-2025,1915.00,1927.00,1900.80,1922.45,1912.177929111263791779,49486,4199,94626037.00,25424,51.38,26.20,7.45
11-July-2025,1941.00,1961.00,1914.50,1921.90,1939.527861605385601388,198158,7269,384332962.00,136878,69.08,46.50,-19.10
10-July-2025,2022.05,2038.55,1962.55,1965.10,1974.541774500189409361,282457,3056,557723146.00,254529,90.11,76.00,-56.95
9-July-2025,2032.65,2039.80,1999.00,2018.00,2026.896366506432005028,140003,3701,283771572.00,115386,82.42,40.80,-14.65
8-July-2025,2032.55,2035.50,2015.00,2030.30,2028.875136144546896907,498551,9173,1011497728.00,64441,12.93,20.50,-2.25
7-July-2025,2018.80,2035.90,2011.00,2032.55,2020.636409699601882012,110520,4034,223320736.00,81145,73.42,24.90,13.75
4-July-2025,2029.85,2035.45,2005.50,2017.45,2012.424549994193473464,172220,6540,346579756.00,57706,33.51,29.95,-12.40
3-July-2025,2035.30,2044.10,2013.75,2017.45,2029.535578178021404333,19155,1451,38875754.00,7101,37.07,30.35,-17.85
2-July-2025,2020.30,2045.50,2019.25,2032.60,2036.152139811316586023,135783,5076,276474846.00,109698,80.79,26.25,12.30
1-July-2025,2008.00,2030.50,2008.00,2019.25,2017.289521708160975490,532081,11710,1073361426.00,168059,31.59,22.50,11.25
30-June-2025,2020.00,2022.00,2000.40,2009.40,2008.351626699985583161,83236,5111,167167156.00,15406,18.51,21.60,-10.60
27-June-2025,2010.00,2038.60,2008.80,2027.90,2019.960598976177999919,99236,3465,200452810.00,57740,58.18,29.80,17.90
26-June-2025,1981.90,2016.15,1966.30,2014.20,1993.792845984194081970,217640,6222,433929075.00,130469,59.95,49.85,32.30
25-June-2025,1937.65,1970.00,1937.65,1965.55,1958.903114130874383240,61815,3250,121089596.00,27343,44.23,32.35,27.90
24-June-2025,1954.90,1963.00,1929.10,1932.80,1937.520160582529604717,837451,24885,1622578196.00,77689,9.28,33.90,-22.10
23-June-2025,1925.05,1948.95,1925.05,1936.05,1937.677917542088460803,73298,5217,142027916.00,31271,42.66,23.90,11.00
20-June-2025,1880.00,1949.00,1874.00,1936.95,1916.826191161799053527,343803,38168,659010595.00,148969,43.33,75.00,56.95
19-June-2025,1867.05,1879.00,1865.15,1875.60,1873.668595363335281511,153990,6411,288526227.00,135408,87.93,13.85,8.55
18-June-2025,1843.20,1870.50,1843.20,1865.15,1863.453434880035741460,143251,4917,266941568.00,115479,80.61,27.30,21.95
17-June-2025,1879.00,1879.00,1847.50,1855.20,1852.902520210529782061,728828,20033,1350447238.00,223698,30.69,31.50,-23.80
16-June-2025,1849.70,1869.70,1839.65,1861.30,1860.129462403215532168,445836,10784,829312679.00,261562,58.67,30.05,11.60
13-June-2025,1838.80,1844.00,1816.25,1842.15,1837.571245016967021381,60706,3428,111551600.00,15456,25.46,27.75,3.35
12-June-2025,1869.50,1882.95,1831.15,1844.05,1858.015049351115006523,100403,3041,186550285.00,64187,63.93,51.80,-25.45
11-June-2025,1856.80,1866.00,1848.00,1859.35,1856.882063387498170106,54648,2668,101474891.00,17914,32.78,18.00,2.55
10-June-2025,1866.60,1874.30,1851.10,1856.80,1857.330245136583616545,303953,14774,564541100.00,40689,13.39,23.20,-9.80
9-June-2025,1872.00,1875.60,1849.00,1865.55,1861.975259222494362382,92681,4994,172569729.00,24028,25.93,26.60,-6.45
6-June-2025,1874.00,1881.40,1866.65,1869.30,1875.881153910661374182,268305,9991,503308293.00,115450,43.03,14.75,-4.70
5-June-2025,1883.80,1888.70,1869.30,1878.50,1877.609263520336373719,120818,3936,226848996.00,57241,47.38,19.40,-5.30
4-June-2025,1859.90,1884.55,1850.00,1874.95,1872.909129333875829050,253151,12272,474128819.00,180038,71.12,34.55,15.05
3-June-2025,1858.05,1868.00,1831.75,1841.50,1844.193200944920631082,951191,33877,1754179975.00,89231,9.38,36.25,-16.55
2-June-2025,1838.80,1857.95,1832.20,1854.95,1850.219216789560463134,163149,9439,301861415.00,33612,20.60,25.75,16.15
30-May-2025,1851.20,1867.45,1845.10,1856.80,1859.072857471737892428,82531,5084,153431142.00,29354,35.57,22.35,5.60
29-May-2025,1857.05,1866.55,1851.00,1863.80,1859.555240491216100972,140712,5915,261661737.00,110250,78.35,15.55,6.75
28-May-2025,1843.85,1866.85,1843.85,1856.05,1859.420749639857573863,183955,6950,342049744.00,150881,82.02,23.00,12.20
27-May-2025,1845.25,1858.00,1833.40,1844.00,1844.313691909107987784,686661,25602,1266418284.00,112056,16.32,24.60,-1.25
26-May-2025,1839.00,1850.50,1831.00,1847.10,1846.354896228777143939,295554,14914,545697575.00,184655,62.48,19.50,8.10
23-May-2025,1815.35,1841.70,1815.35,1832.10,1836.342983088775503326,148363,6034,272445354.00,103475,69.74,26.35,16.75
22-May-2025,1821.95,1836.00,1817.80,1831.75,1831.423299054704999094,281711,9301,515932089.00,205344,72.89,18.20,9.80
21-May-2025,1810.35,1826.45,1806.75,1822.30,1818.069824038128317050,256817,7896,466911238.00,195025,75.94,19.70,11.95
20-May-2025,1818.30,1824.70,1799.05,1808.60,1809.752523919498515341,272790,13720,493682391.00,70637,25.89,25.65,-9.70
19-May-2025,1819.05,1828.55,1808.65,1817.40,1818.095671196578398541,519289,15819,944117083.00,327901,63.14,19.90,-1.65
16-May-2025,1832.20,1833.80,1810.10,1814.35,1820.677633903683421229,5555243,32646,10114306681.00,3211115,57.80,23.70,-17.85
