"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDUNILVR","EQ","28-Oct-2024","2,528.05","2,544.00","2,589.60","2,520.10","2,575.00","2,575.80","2,568.96","8,52,829","2,19,08,85,516.55","72,864","4,57,418","53.64"
"HINDUNILVR","EQ","29-Oct-2024","2,575.80","2,585.70","2,585.70","2,536.00","2,550.00","2,547.65","2,548.55","16,95,654","4,32,14,64,692.30","1,12,534","12,43,013","73.31"
"HINDUNILVR","EQ","30-Oct-2024","2,547.65","2,557.00","2,563.30","2,533.40","2,559.35","2,554.95","2,554.80","12,00,637","3,06,73,89,206.15","93,066","8,36,622","69.68"
"HINDUNILVR","EQ","31-Oct-2024","2,554.95","2,554.95","2,563.50","2,524.10","2,526.90","2,528.25","2,535.10","19,01,355","4,82,01,32,910.95","1,08,312","13,08,464","68.82"
"HINDUNILVR","EQ","01-Nov-2024","2,528.25","2,543.95","2,545.95","2,511.35","2,539.00","2,537.50","2,535.95","1,18,532","30,05,91,045.35","14,828","62,230","52.50"
"HINDUNILVR","EQ","04-Nov-2024","2,537.50","2,547.00","2,547.00","2,503.50","2,520.00","2,524.80","2,521.42","10,97,260","2,76,66,52,041.10","93,220","6,83,938","62.33"
"HINDUNILVR","EQ","05-Nov-2024","2,524.80","2,520.00","2,530.25","2,507.00","2,523.00","2,521.35","2,518.32","7,02,046","1,76,79,77,905.00","60,572","3,90,276","55.59"
"HINDUNILVR","EQ","06-Nov-2024","2,521.35","2,515.20","2,522.10","2,495.00","2,509.00","2,500.70","2,505.02","12,19,166","3,05,40,37,451.75","87,753","7,12,231","58.42"
"HINDUNILVR","EQ","07-Nov-2024","2,500.70","2,500.70","2,509.90","2,466.10","2,480.50","2,475.50","2,477.18","13,22,446","3,27,59,40,282.40","85,081","8,61,252","65.13"
"HINDUNILVR","EQ","08-Nov-2024","2,475.50","2,483.95","2,515.25","2,467.30","2,505.00","2,507.70","2,496.30","17,00,877","4,24,59,07,078.85","1,10,305","11,11,061","65.32"
"HINDUNILVR","EQ","11-Nov-2024","2,507.70","2,509.00","2,514.90","2,475.05","2,491.30","2,491.05","2,497.99","11,75,577","2,93,65,78,624.70","74,700","7,93,053","67.46"
"HINDUNILVR","EQ","12-Nov-2024","2,491.05","2,495.00","2,496.95","2,456.00","2,462.10","2,461.50","2,466.94","16,24,222","4,00,68,64,964.05","1,12,872","12,07,650","74.35"
"HINDUNILVR","EQ","13-Nov-2024","2,461.50","2,462.10","2,472.80","2,450.40","2,460.35","2,464.95","2,463.83","12,62,017","3,10,93,93,671.60","1,03,366","9,05,573","71.76"
"HINDUNILVR","EQ","14-Nov-2024","2,464.95","2,460.40","2,464.70","2,383.70","2,392.95","2,389.20","2,410.13","24,43,393","5,88,88,96,810.40","1,99,966","14,43,303","59.07"
"HINDUNILVR","EQ","18-Nov-2024","2,389.20","2,401.15","2,425.00","2,375.75","2,424.20","2,422.90","2,406.22","13,74,215","3,30,66,67,092.45","1,05,200","9,59,140","69.80"
"HINDUNILVR","EQ","19-Nov-2024","2,422.90","2,431.90","2,440.20","2,405.10","2,409.40","2,410.35","2,425.32","11,33,370","2,74,87,82,383.95","75,226","7,34,551","64.81"
"HINDUNILVR","EQ","21-Nov-2024","2,410.35","2,424.75","2,424.75","2,376.10","2,384.00","2,382.80","2,391.71","12,91,829","3,08,96,75,257.95","1,13,838","7,27,787","56.34"
"HINDUNILVR","EQ","22-Nov-2024","2,382.80","2,390.95","2,452.10","2,377.85","2,440.00","2,445.25","2,424.67","16,96,471","4,11,33,75,805.15","1,29,473","11,56,911","68.20"
"HINDUNILVR","EQ","25-Nov-2024","2,445.25","2,470.00","2,505.70","2,457.60","2,474.95","2,471.45","2,478.75","43,68,045","10,82,73,13,208.35","1,31,000","32,18,470","73.68"
"HINDUNILVR","EQ","26-Nov-2024","2,471.45","2,486.25","2,494.95","2,460.40","2,478.20","2,479.20","2,481.45","9,82,442","2,43,78,80,750.80","75,656","5,82,981","59.34"
"HINDUNILVR","EQ","27-Nov-2024","2,479.20","2,475.15","2,492.95","2,458.00","2,486.65","2,486.90","2,477.05","9,48,232","2,34,88,13,503.65","74,848","5,66,670","59.76"
"HINDUNILVR","EQ","28-Nov-2024","2,486.90","2,486.00","2,539.15","2,453.20","2,468.40","2,462.20","2,481.94","25,40,530","6,30,54,36,946.10","1,42,960","14,63,791","57.62"
"HINDUNILVR","EQ","29-Nov-2024","2,462.20","2,455.10","2,507.50","2,455.10","2,492.00","2,496.15","2,495.54","17,95,164","4,47,99,12,398.40","1,56,509","12,57,903","70.07"
"HINDUNILVR","EQ","02-Dec-2024","2,496.15","2,485.00","2,490.50","2,460.55","2,479.00","2,479.15","2,476.74","10,06,993","2,49,40,59,293.35","87,993","6,06,214","60.20"
"HINDUNILVR","EQ","03-Dec-2024","2,479.15","2,480.00","2,491.45","2,466.00","2,482.00","2,482.85","2,479.52","16,41,588","4,07,03,49,094.80","96,217","12,22,095","74.45"
"HINDUNILVR","EQ","04-Dec-2024","2,482.85","2,481.10","2,493.00","2,456.55","2,464.90","2,464.50","2,476.77","13,21,495","3,27,30,42,233.70","96,902","9,37,643","70.95"
"HINDUNILVR","EQ","05-Dec-2024","2,464.50","2,465.60","2,515.00","2,450.05","2,496.00","2,494.60","2,488.68","20,71,795","5,15,60,34,885.20","1,44,220","10,98,782","53.04"
"HINDUNILVR","EQ","06-Dec-2024","2,494.60","2,495.00","2,495.80","2,475.00","2,485.00","2,483.80","2,482.65","13,08,086","3,24,75,25,698.05","82,295","7,85,594","60.06"
"HINDUNILVR","EQ","09-Dec-2024","2,483.80","2,465.00","2,476.95","2,383.30","2,402.00","2,400.75","2,398.76","33,85,021","8,11,98,48,926.60","1,75,133","21,42,339","63.29"
"HINDUNILVR","EQ","10-Dec-2024","2,400.75","2,408.70","2,413.00","2,388.30","2,399.45","2,397.35","2,398.37","20,63,838","4,94,98,47,533.25","96,177","15,39,681","74.60"
"HINDUNILVR","EQ","11-Dec-2024","2,397.35","2,405.00","2,409.35","2,385.00","2,405.00","2,401.35","2,399.34","17,18,225","4,12,26,13,165.55","77,630","12,74,091","74.15"
"HINDUNILVR","EQ","12-Dec-2024","2,401.35","2,385.05","2,399.95","2,338.00","2,345.90","2,344.95","2,355.13","32,31,056","7,60,95,41,556.35","1,59,588","20,65,302","63.92"
"HINDUNILVR","EQ","13-Dec-2024","2,344.95","2,344.95","2,394.55","2,333.45","2,391.25","2,390.10","2,370.64","22,60,902","5,35,97,75,739.25","1,28,176","12,25,042","54.18"
"HINDUNILVR","EQ","16-Dec-2024","2,390.10","2,390.30","2,393.00","2,363.00","2,364.00","2,366.15","2,370.16","12,47,552","2,95,68,97,640.70","89,234","8,08,176","64.78"
"HINDUNILVR","EQ","17-Dec-2024","2,366.15","2,353.35","2,380.00","2,353.35","2,364.00","2,363.25","2,364.99","21,31,569","5,04,11,30,370.85","1,31,845","14,33,390","67.25"
