"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATASTEEL","EQ","28-Oct-2024","145.86","146.00","149.73","144.73","149.50","149.38","148.11","2,83,86,897","4,20,44,85,399.50","2,02,518","85,94,846","30.28"
"TATASTEEL","EQ","29-Oct-2024","149.38","149.85","150.45","146.55","150.10","150.06","148.24","3,22,58,407","4,78,20,62,026.21","2,78,118","1,17,48,879","36.42"
"TATASTEEL","EQ","30-Oct-2024","150.06","148.10","150.95","148.10","148.85","148.97","149.65","2,13,62,130","3,19,69,26,857.03","1,79,907","83,52,434","39.10"
"TATASTEEL","EQ","31-Oct-2024","148.97","149.08","149.95","148.20","148.33","148.56","148.87","2,63,83,702","3,92,76,61,607.97","1,92,116","1,22,75,028","46.53"
"TATASTEEL","EQ","01-Nov-2024","148.56","149.66","150.25","149.00","149.70","149.75","149.85","51,06,804","76,52,48,053.69","90,862","26,71,486","52.31"
"TATASTEEL","EQ","04-Nov-2024","149.75","150.00","150.00","145.10","147.10","146.95","146.86","2,55,71,021","3,75,54,35,352.87","2,87,395","92,79,923","36.29"
"TATASTEEL","EQ","05-Nov-2024","146.95","147.00","152.55","146.95","152.45","152.29","150.69","4,27,72,283","6,44,51,42,415.20","2,44,601","1,04,48,968","24.43"
"TATASTEEL","EQ","06-Nov-2024","152.29","154.00","154.95","149.59","153.81","153.62","151.73","4,89,28,986","7,42,39,63,642.10","2,61,381","1,06,02,115","21.67"
"TATASTEEL","EQ","07-Nov-2024","153.62","156.11","156.92","150.20","151.15","150.95","153.48","8,82,54,789","13,54,54,12,839.66","3,73,011","2,68,66,314","30.44"
"TATASTEEL","EQ","08-Nov-2024","150.95","152.00","152.00","146.94","147.30","147.57","149.20","6,19,80,989","9,24,74,04,903.34","2,88,855","2,32,87,029","37.57"
"TATASTEEL","EQ","11-Nov-2024","147.57","147.57","147.69","144.10","145.30","145.01","145.58","4,74,97,863","6,91,45,06,463.50","3,15,622","1,80,17,875","37.93"
"TATASTEEL","EQ","12-Nov-2024","145.01","145.65","147.13","143.60","143.90","144.17","145.51","2,88,61,672","4,19,97,99,655.07","2,46,899","82,14,920","28.46"
"TATASTEEL","EQ","13-Nov-2024","144.17","143.60","143.60","138.60","139.69","139.17","140.03","5,76,09,083","8,06,67,78,657.17","4,28,370","2,52,99,294","43.92"
